 vert 50
Flux_132, 1.0316,1.0320,1.0317,1.0317,1.0361,1.0508,1.0652,1.0909,1.0884
Flux_133, 0.9789,0.9791,0.9788,0.9791,0.9834,0.9973,1.0106,1.0338,1.0295
Flux_134, 1.0914,1.0918,1.0916,1.0907,1.0952,1.1110,1.1264,1.1548,1.1565
Flux_135, 1.0644,1.0646,1.0647,1.0634,1.0676,1.0828,1.0976,1.1259,1.1292
Flux_136, 0.9928,0.9929,0.9933,0.9915,0.9954,1.0097,1.0237,1.0513,1.0567
Flux_137, 1.0463,1.0465,1.0470,1.0447,1.0484,1.0635,1.0781,1.1072,1.1147
Flux_138, 0.9764,0.9766,0.9769,0.9750,0.9786,0.9927,1.0064,1.0336,1.0396
Flux_139, 1.0254,1.0256,1.0258,1.0244,1.0285,1.0433,1.0575,1.0851,1.0891
Flux_140, 1.0527,1.0531,1.0533,1.0513,1.0553,1.0704,1.0854,1.1146,1.1191
Flux_141, 0.9936,0.9939,0.9939,0.9931,0.9972,1.0112,1.0248,1.0496,1.0487
Flux_142, 0.9967,0.9970,0.9970,0.9960,1.0000,1.0143,1.0282,1.0543,1.0555
Flux_143, 0.8985,0.8986,0.8986,0.8978,0.9014,0.9143,0.9267,0.9498,0.9516
Flux_144, 0.9684,0.9687,0.9688,0.9674,0.9712,0.9852,0.9989,1.0253,1.0294
Flux_145, 0.9114,0.9115,0.9116,0.9111,0.9149,0.9281,0.9407,0.9641,0.9650
Flux_146, 0.9634,0.9637,0.9634,0.9635,0.9677,0.9813,0.9943,1.0176,1.0146
Flux_147, 0.9537,0.9540,0.9537,0.9534,0.9574,0.9709,0.9839,1.0072,1.0055
Flux_148, 1.0580,1.0582,1.0587,1.0561,1.0599,1.0754,1.0906,1.1218,1.1325
Flux_149, 0.9269,0.9273,0.9272,0.9267,0.9306,0.9438,0.9565,0.9800,0.9787
Flux_150, 1.1112,1.1115,1.1114,1.1108,1.1154,1.1313,1.1468,1.1751,1.1748
Flux_151, 1.1823,1.1826,1.1831,1.1807,1.1851,1.2023,1.2191,1.2527,1.2613
Flux_152, 0.9962,0.9965,0.9967,0.9952,0.9990,1.0135,1.0276,1.0551,1.0596
Flux_153, 1.0535,1.0538,1.0543,1.0519,1.0557,1.0708,1.0857,1.1151,1.1214
Flux_154, 0.9581,0.9584,0.9582,0.9578,0.9618,0.9754,0.9886,1.0125,1.0111
Flux_155, 1.1311,1.1315,1.1317,1.1299,1.1341,1.1504,1.1663,1.1968,1.2009
Flux_156, 1.0523,1.0526,1.0531,1.0503,1.0540,1.0692,1.0842,1.1147,1.1244
Flux_157, 0.9725,0.9727,0.9731,0.9711,0.9746,0.9887,1.0025,1.0296,1.0359
Flux_158, 0.9900,0.9903,0.9904,0.9899,0.9941,1.0082,1.0218,1.0471,1.0463
Flux_159, 1.0749,1.0751,1.0756,1.0736,1.0776,1.0931,1.1082,1.1381,1.1442
Flux_160, 1.0323,1.0326,1.0326,1.0310,1.0349,1.0496,1.0640,1.0911,1.0937
Flux_161, 0.9606,0.9610,0.9608,0.9607,0.9649,0.9785,0.9918,1.0160,1.0141
Flux_162, 1.0968,1.0970,1.0972,1.0957,1.0999,1.1157,1.1308,1.1598,1.1638
Flux_163, 0.9710,0.9712,0.9714,0.9702,0.9741,0.9880,1.0014,1.0271,1.0289
Flux_164, 0.9511,0.9514,0.9518,0.9496,0.9531,0.9669,0.9804,1.0077,1.0148
Flux_165, 0.9304,0.9308,0.9304,0.9310,0.9352,0.9482,0.9606,0.9821,0.9755
Flux_166, 1.0313,1.0317,1.0318,1.0304,1.0344,1.0491,1.0636,1.0908,1.0930
Flux_167, 1.0294,1.0297,1.0297,1.0287,1.0329,1.0476,1.0619,1.0883,1.0889
Flux_168, 0.9214,0.9217,0.9219,0.9201,0.9236,0.9369,0.9499,0.9751,0.9797
Flux_169, 1.0120,1.0123,1.0126,1.0108,1.0147,1.0293,1.0436,1.0720,1.0784
Flux_170, 0.9021,0.9025,0.9025,0.9016,0.9053,0.9183,0.9309,0.9550,0.9572
Flux_171, 1.1171,1.1176,1.1178,1.1160,1.1202,1.1362,1.1520,1.1823,1.1869
Flux_172, 0.9576,0.9578,0.9578,0.9571,0.9610,0.9745,0.9875,1.0110,1.0085
Flux_173, 0.9413,0.9414,0.9418,0.9398,0.9433,0.9570,0.9704,0.9969,1.0040
Flux_174, 0.8824,0.8825,0.8828,0.8813,0.8848,0.8976,0.9100,0.9348,0.9409
Flux_175, 1.1550,1.1554,1.1554,1.1542,1.1587,1.1751,1.1911,1.2213,1.2220
