Index,Type,Name,Data CCQE,MC CCQE,MC Truth
206,Int_t,FittedMichel_closestclusterX_endpoint_sz,1,1,0
207,Int_t,FittedMichel_closestclusterX_endpoint,1,1,0
208,Int_t,FittedMichel_closestclusterX_nclusz_sz,1,1,0
209,Int_t,FittedMichel_closestclusterX_nclusz,1,1,0
210,Int_t,FittedMichel_cluster_view_sz,1,1,0
211,Int_t,FittedMichel_cluster_view,1,1,0
212,Int_t,FittedMichel_duplicate_michelindex_sz,1,1,0
213,Int_t,FittedMichel_duplicate_michelindex,1,1,0
214,Int_t,FittedMichel_event_has_piminus_sz,1,1,0
215,Int_t,FittedMichel_event_has_piminus,1,1,0
216,Int_t,FittedMichel_event_has_piminus_decay_sz,1,1,0
217,Int_t,FittedMichel_event_has_piminus_decay,1,1,0
218,Int_t,FittedMichel_event_has_piplus_sz,1,1,0
219,Int_t,FittedMichel_event_has_piplus,1,1,0
220,Int_t,FittedMichel_event_has_piplus_decay_sz,1,1,0
221,Int_t,FittedMichel_event_has_piplus_decay,1,1,0
222,Int_t,FittedMichel_hastruemichel_sz,1,1,0
223,Int_t,FittedMichel_hastruemichel,1,1,0
224,Int_t,FittedMichel_is_cluster_mc_sz,1,1,0
225,Int_t,FittedMichel_is_cluster_mc,1,1,0
226,Int_t,FittedMichel_is_cluster_true_sz,1,1,0
227,Int_t,FittedMichel_is_cluster_true,1,1,0
228,Int_t,FittedMichel_istrueMichel_sz,1,1,0
229,Int_t,FittedMichel_istrueMichel,1,1,0
230,Int_t,FittedMichel_michel_Uclusters_sz,1,1,0
231,Int_t,FittedMichel_michel_Uclusters,1,1,0
232,Int_t,FittedMichel_michel_Vclusters_sz,1,1,0
233,Int_t,FittedMichel_michel_Vclusters,1,1,0
234,Int_t,FittedMichel_michel_Xclusters_sz,1,1,0
235,Int_t,FittedMichel_michel_Xclusters,1,1,0
236,Int_t,FittedMichel_michel_clusterindex_sz,1,1,0
237,Int_t,FittedMichel_michel_clusterindex,1,1,0
238,Int_t,FittedMichel_michel_fitPass_sz,1,1,0
239,Int_t,FittedMichel_michel_fitPass,1,1,0
240,Int_t,FittedMichel_michel_from_decay_sz,1,1,0
241,Int_t,FittedMichel_michel_from_decay,1,1,0
242,Int_t,FittedMichel_michel_from_muminus_sz,1,1,0
243,Int_t,FittedMichel_michel_from_muminus,1,1,0
244,Int_t,FittedMichel_michel_from_muplus_sz,1,1,0
245,Int_t,FittedMichel_michel_from_muplus,1,1,0
246,Int_t,FittedMichel_michel_from_piminus_sz,1,1,0
247,Int_t,FittedMichel_michel_from_piminus,1,1,0
248,Int_t,FittedMichel_michel_from_piplus_sz,1,1,0
249,Int_t,FittedMichel_michel_from_piplus,1,1,0
250,Int_t,FittedMichel_michel_from_primarypion_sz,1,1,0
251,Int_t,FittedMichel_michel_from_primarypion,1,1,0
252,Int_t,FittedMichel_michel_isoverlay_sz,1,1,0
253,Int_t,FittedMichel_michel_isoverlay,1,1,0
254,Int_t,FittedMichel_michel_parent_PDG_sz,1,1,0
255,Int_t,FittedMichel_michel_parent_PDG,1,1,0
256,Int_t,FittedMichel_michel_true_parent_sz,1,1,0
257,Int_t,FittedMichel_michel_true_parent,1,1,0
258,Int_t,FittedMichel_nmichelsmatch_sz,1,1,0
259,Int_t,FittedMichel_nmichelsmatch,1,1,0
260,Int_t,FittedMichel_reco_michel_index_sz,1,1,0
261,Int_t,FittedMichel_reco_michel_index,1,1,0
262,Int_t,FittedMichel_reco_micheltrajectory_ParentID_sz,1,1,0
263,Int_t,FittedMichel_reco_micheltrajectory_ParentID,1,1,0
264,Int_t,FittedMichel_reco_micheltrajectory_ParentPDG_sz,1,1,0
265,Int_t,FittedMichel_reco_micheltrajectory_ParentPDG,1,1,0
